match_id,card_type,player_name, minute
match1,Yellow,José Luis Morales Nogales,93
match1,Yellow,Antonio Luna Rodríguez,82
match2,Yellow,Àlex Granell,87
match2,Yellow,Rubén Alcaraz,86
match3,Yellow,Guillermo Maripán,41
match3,Yellow,Daniel Alejandro Torres,10
match4,Yellow,Dídac Vilà,95
match4,Yellow,Junior Alonso,91
match4,Yellow,Marc Roca,73
match4,Yellow,Iago Aspas,70
match4,Yellow,Brais Méndez,43
match5,Yellow,Joseba Zaldua,77
match5,Yellow,Juanmi Jiménez,75
match5,Yellow,Santiago Cáseres,67
match5,Yellow,Theo Hernández,51
match5,Yellow,Manu Morlanes,36
match6,Yellow,Samuele Longo,93
match6,Yellow,Joan Jordán,50
match7,Yellow,Leandro Cabrera,79
match7,Yellow,Bruno González,79
match7,Yellow,Mauro Arambarri,77
match7,Yellow,Marcelo Vieira,68
match7,Yellow,Jaime Mata,63
match7,Yellow,Djené Dakonam Ortega,42
match7,Yellow,Amath Ndiaye,41
match7,Yellow,Jorge Molina Vidal,27
match8,Yellow,José Ángel Pozo,12
match9,Yellow,Iker Muniain,94
match9,Yellow,Michael Santos,88
match9,Yellow,Jonathan Silva,81
match9,Yellow,Raúl García Escudero,78
match9,Yellow,Gerard Gumbau,76
match9,Yellow,Guido Carrillo,55
match9,Yellow,Yuri Berchiche,53
match9,Yellow,Raúl García Carnero,41
match9,Yellow,Yeray Álvarez,17
match10,Yellow,Rodrigo Moreno Machado,70
match10,Yellow,Filipe Luís,63
match10,Yellow,Juanfran Torres,52
match10,Yellow,Ezequiel Garay,46
match10,Yellow,Stefan Savić,13
match11,Yellow,Anaitz Arbilla Zabala,91
match11,Yellow,Iván Alejo,46
match11,Yellow,Djené Dakonam Ortega,1
match12,Yellow,Jonathan Silva,92
match12,Yellow,Juanmi Jiménez,80
match12,Yellow,Joseba Zaldua,53
match13,Yellow,Martín Aguirregabiria,70
match13,Yellow,Manu García Sánchez,47
match13,Yellow,Wakaso Mubarak,40
match13,Yellow,Marc Bartra,23
match14,Yellow,Koke Resurrección,88
match14,Yellow,Álvaro García Rivera,29
match15,Yellow,Gerard Piqué,60
match15,Yellow,Enes Ünal,49
match16,Yellow,Mario Hermoso,48
match16,Yellow,Mouctar Diakhaby,30
match17,Yellow,Lucas Vázquez,88
match17,Yellow,Karim Benzema,86
match17,Yellow,Dani Carvajal,67
match17,Yellow,Marc Muniesa,65
match17,Yellow,Pedro Porro,33
match18,Yellow,Simon Kjær,92
match18,Yellow,Jaume Costa,88
match18,Yellow,Pablo Sarabia,81
match18,Yellow,Gabriel Mercado,44
match18,Yellow,Mario Gaspar,5
match19,Yellow,Damián Musto,92
match19,Yellow,Ander Iturraspe,73
match19,Yellow,Jorge Pulido,72
match19,Yellow,Dani García,42
match20,Yellow,Róber Pier,96
match20,Yellow,Sofiane Boufal,93
match20,Yellow,Sergio Álvarez Conde,77
match20,Yellow,José Campaña,74
match20,Yellow,Hugo Mallo,63
match21,Yellow,Asier Illarramendi,80
match21,Yellow,Rubén Peña Jiménez,75
match21,Yellow,Juanmi Jiménez,58
match21,Yellow,Pape Diop,34
match21,Yellow,Marko Dmitrović,14
match22,Yellow,Djené Dakonam Ortega,89
match22,Yellow,Iván Alejo,42
match22,Yellow,Javi Moyano,40
